task_id,phase,backlog_status,ticket_path,freeze_status,notes
BE-DAT-001,P9,Not Started,docs/tickets/BE-DAT-001.md,doc-frozen,cites_HO_DEFAULTS
BE-DAT-002,P9,Not Started,docs/tickets/BE-DAT-002.md,doc-frozen,
BE-DAT-003,P9,Not Started,docs/tickets/BE-DAT-003.md,doc-frozen,cites_HO_DEFAULTS
BE-DAT-004,P9,Not Started,docs/tickets/BE-DAT-004.md,doc-frozen,
BE-DAT-005,P9,Not Started,docs/tickets/BE-DAT-005.md,doc-frozen,
BE-DAT-006,P9,Not Started,docs/tickets/BE-DAT-006.md,doc-frozen,
BE-DAT-007,P9,Not Started,docs/tickets/BE-DAT-007.md,doc-frozen,
BE-DAT-008,P9,Not Started,docs/tickets/BE-DAT-008.md,doc-frozen,
BE-DAT-009,P9,Not Started,docs/tickets/BE-DAT-009.md,doc-frozen,
BE-DAT-010,P9,Not Started,docs/tickets/BE-DAT-010.md,doc-frozen,
BE-BIL-001,P10,Not Started,docs/tickets/BE-BIL-001.md,doc-frozen,cites_HO_DEFAULTS
BE-BIL-002,P10,Not Started,docs/tickets/BE-BIL-002.md,doc-frozen,
BE-BIL-003,P10,Not Started,docs/tickets/BE-BIL-003.md,doc-frozen,
BE-OPS-001,P10,Not Started,docs/tickets/BE-OPS-001.md,doc-frozen,
BE-OPS-002,P10,Not Started,docs/tickets/BE-OPS-002.md,doc-frozen,
BE-OPS-003,P10,Not Started,docs/tickets/BE-OPS-003.md,doc-frozen,
BE-OPS-004,P10,Not Started,docs/tickets/BE-OPS-004.md,doc-frozen,
BE-OPS-005,P10,Not Started,docs/tickets/BE-OPS-005.md,doc-frozen,
BE-DSK-001,P10,Not Started,docs/tickets/BE-DSK-001.md,doc-frozen,
BE-DSK-002,P10,Not Started,docs/tickets/BE-DSK-002.md,doc-frozen,
BE-DSK-003,P10,Not Started,docs/tickets/BE-DSK-003.md,doc-frozen,
BE-DSK-004,P10,Not Started,docs/tickets/BE-DSK-004.md,doc-frozen,
BE-DSK-005,P10,Not Started,docs/tickets/BE-DSK-005.md,doc-frozen,
BE-HRD-001,P11,Not Started,docs/tickets/BE-HRD-001.md,doc-frozen,
BE-HRD-002,P11,Not Started,docs/tickets/BE-HRD-002.md,doc-frozen,
BE-HRD-003,P11,Not Started,docs/tickets/BE-HRD-003.md,doc-frozen,
BE-HRD-004,P11,Not Started,docs/tickets/BE-HRD-004.md,doc-frozen,
BE-HRD-005,P11,Not Started,docs/tickets/BE-HRD-005.md,doc-frozen,
BE-HRD-006,P11,Not Started,docs/tickets/BE-HRD-006.md,doc-frozen,
BE-HRD-007,P11,Not Started,docs/tickets/BE-HRD-007.md,doc-frozen,
BE-HRD-008,P11,Not Started,docs/tickets/BE-HRD-008.md,doc-frozen,
BE-HRD-009,P11,Not Started,docs/tickets/BE-HRD-009.md,doc-frozen,
BE-HRD-010,P11,Not Started,docs/tickets/BE-HRD-010.md,doc-frozen,
